patch_size,patch_distance,MSE,PSNR,SSIM,Method
3,5,0.004700132401993228,23.278899078844653,0.4429712272786026,Grayscale
3,7,0.004613170286196747,23.360005139608564,0.44240169517798844,Grayscale
3,9,0.004609723210679586,23.36325150897415,0.4408079800863739,Grayscale
3,11,0.004632714083195249,23.34164502283844,0.4391118922903512,Grayscale
3,13,0.004667986280402374,23.308704290521813,0.43749876325867565,Grayscale
5,5,0.0021887453933432163,26.598047549679954,0.626556277689577,Grayscale
5,7,0.0020075671975925886,26.973299090354658,0.6407990008590538,Grayscale
5,9,0.0019608265027590585,27.075608317415817,0.6457003136967634,Grayscale
5,11,0.00195319758482378,27.092538214032498,0.6474786824696439,Grayscale
5,13,0.001964607653516976,27.06724168406057,0.6477895311414118,Grayscale
7,5,0.0016307033998668608,27.87625023334278,0.7202438918248668,Grayscale
7,7,0.0014986072202412088,28.24312179316083,0.7416246745752243,Grayscale
7,9,0.001488015293812885,28.273926050909402,0.7494880137460542,Grayscale
7,11,0.0015083411541914147,28.215004193242727,0.7527860275580156,Grayscale
7,13,0.0015413993687276705,28.12084823213086,0.7538908878418308,Grayscale
9,5,0.0014866176113838506,28.278007265838426,0.7575770499275658,Grayscale
9,7,0.0014016190611812317,28.533700049905363,0.7783847763782046,Grayscale
9,9,0.0014250640470460853,28.4616561660029,0.7850842129149544,Grayscale
9,11,0.001472175249911899,28.320404878657857,0.7873338118199145,Grayscale
9,13,0.0015273355699080829,28.160655339007484,0.7876048109834128,Grayscale
11,5,0.0014510095100680974,28.38329741141477,0.7726427298086915,Grayscale
11,7,0.0014025767277246145,28.530733714151566,0.7908661730251494,Grayscale
11,9,0.0014532271897583333,28.37666485120126,0.7954470505366378,Grayscale
11,11,0.0015221116621510268,28.17553486542309,0.7960989981671334,Grayscale
11,13,0.0015958595594611634,27.970053305509154,0.7951700537227451,Grayscale
3,5,0.0033134094312421277,24.797248959192224,0.8136009844083808,RGB (denoised in RGB)
3,7,0.003131674172075309,25.042234294464013,0.8182804953688806,RGB (denoised in RGB)
3,9,0.003043402213712996,25.16640647821637,0.8208070752870875,RGB (denoised in RGB)
3,11,0.002994291190784482,25.237059673859108,0.8227642652242614,RGB (denoised in RGB)
3,13,0.002971141269934161,25.2707669814778,0.8241151563560094,RGB (denoised in RGB)
5,5,0.0031898491464128673,24.96229855008524,0.8364618553874362,RGB (denoised in RGB)
5,7,0.003039010099099468,25.172678566900856,0.8374367021719765,RGB (denoised in RGB)
